,AAPL US Equity,AAPL US Equity,AAPL US Equity,AAPL US Equity,AAPL US Equity,NFLX US Equity,NFLX US Equity,NFLX US Equity,NFLX US Equity,NFLX US Equity,AMD US Equity,AMD US Equity,AMD US Equity,AMD US Equity,AMD US Equity,GE US Equity,GE US Equity,GE US Equity,GE US Equity,GE US Equity,OXY US Equity,OXY US Equity,OXY US Equity,OXY US Equity,OXY US Equity
,CLOSE,HIGH,LOW,OPEN,VOLUME,CLOSE,HIGH,LOW,OPEN,VOLUME,CLOSE,HIGH,LOW,OPEN,VOLUME,CLOSE,HIGH,LOW,OPEN,VOLUME,CLOSE,HIGH,LOW,OPEN,VOLUME
2010-03-29,8.299634557500001,8.352134505,8.2724917275,8.321420250000001,131992999.993,10.5571323,10.714275,10.52141805,10.699989300000002,2373744.3737443737,9.11,9.2,9.06,9.07,1705700.0,141.4961472,142.72654848,140.342646,142.49584824000004,1575525.0,80.70872352274368,81.01567374293953,78.59844075889728,78.62721734204064,1683500.0
2010-03-30,8.4224915775,8.48142009,8.366420205,8.455705830000001,181856317.85631785,10.722846420000002,10.807132050000002,10.632846510000002,10.699989300000002,3268275.268275268,9.27,9.27,9.09,9.19,1536100.0,140.7271464,142.11134784,140.342646,142.11134784,1323175.0,80.83342204969824,81.3418083518976,80.58402499578912,81.08281910360736,1443800.0
2010-03-31,8.390348752500001,8.4503486925,8.373563055000002,8.4232058625,134706258.70625868,10.53427518,10.722846420000002,10.53141804,10.6142751,2345877.3458773457,9.27,9.44,9.14,9.17,2152500.0,139.9581456,141.18854688,139.41984503999998,140.11194576,2197512.5,81.09241129798848,81.58161321142559,80.4785108575968,80.93893618789056,1846400.0
2010-04-01,8.427491572500001,8.524991475,8.31284883,8.488205797500001,187415219.4152194,10.714275,10.8142749,10.517132340000002,10.517132340000002,4517762.517762519,9.37,9.49,9.22,9.33,2121800.0,140.95784664,141.4961472,139.80434544,140.7271464,1303600.0,83.0684033404992,83.41372233821951,81.87897123724032,81.90774782038369,1716900.0
2010-04-05,8.5174914825,8.5182057675,8.384634472500002,8.39284875,212988428.9884289,11.42713143,11.437131420000002,10.79570349,10.79713206,6311297.311297311,9.53,9.54,9.44,9.5,2037500.0,142.49584824000004,143.41864919999998,140.95784664,141.80374752,1662462.5,84.80459052348192,85.12113293805888,83.3082082000272,83.46168331012512,1493600.0
2010-04-06,8.554991445,8.57999142,8.46427725,8.50999149,119508263.5082635,11.909988090000002,11.99141658,11.40856002,11.488559940000002,9954758.954758951,9.35,9.49,9.19,9.49,2420400.0,143.03414880000005,143.41864919999998,141.57304728,142.03444775999995,1723950.0,84.88132807853087,85.16909390996449,84.29620422128255,84.38253397071264,1226400.0
2010-04-07,8.592848550000001,8.63999136,8.5239200475,8.56142001,166788410.78841078,11.38998861,11.76713109,11.31713154,11.71713114,7283080.283080283,9.66,9.83,9.26,9.4,3556600.0,142.26514799999995,144.18765,141.41924712,142.64964840000005,1492987.5,82.78063750906558,84.47845591452383,82.50246387201312,84.4496793313805,1893500.0
2010-04-08,8.569277145000001,8.626419945,8.50142007,8.585705699999998,167653835.65383565,11.68998831,11.714274,11.32427439,11.32427439,3780220.78022078,9.42,9.63,9.34,9.63,2359800.0,142.72654848,143.41864919999998,140.342646,141.41924712,1583000.0,83.04921895173696,83.24106283935936,81.2458864080864,82.51205606639424,1689100.0
2010-04-09,8.6389199325,8.6389199325,8.588205697500001,8.622134235,100016352.016352,11.77427394,11.77998822,11.49284565,11.58427413,3887712.887712888,9.3,9.57,9.29,9.45,4774400.0,142.41894816,143.57244936,141.4961472,142.80344856,1338325.0,83.03003456297472,83.52882867079295,82.09959170800606,83.13554870116705,1363900.0
2010-04-12,8.6532056325,8.680705605,8.6360627925,8.674991325,99372407.37240736,11.882845260000002,11.89141668,11.657131199999998,11.7571311,3526358.526358526,9.42,9.53,9.35,9.35,3656600.0,143.88004968,145.95635184,142.64964840000005,142.88034864,1662137.5,83.25065503374049,83.46168331012512,82.7902297034467,83.14514089554817,976900.0
2010-04-13,8.657848485,8.6710627575,8.6110628175,8.642134215,93785421.78542176,12.33998766,12.378559050000002,11.857131,11.897130960000002,5919499.919499919,9.56,9.59,9.35,9.4,1916900.0,145.7256516,147.10985304,143.95694976,144.41835024,1744837.5,82.19551365181728,83.10677211802367,81.28425518561087,82.75186092592223,1217000.0
2010-04-14,8.7703483725,8.778562650000001,8.71713414,8.7560626725,126851214.85121484,12.51141606,12.7285587,12.26855916,12.42284472,5847119.847119846,9.89,9.96,9.71,9.83,4510000.0,148.80165480000005,149.18615519999997,147.10985304,147.64815359999997,1696287.5,82.6463467877299,82.67512337087327,81.57202101704449,82.42572631696416,1169400.0
2010-04-15,8.88999111,8.893919677500003,8.7682055175,8.7839197875,112510020.51002052,12.40427331,12.55284459,12.2142735,12.464273250000002,3604219.604219604,10.16,10.24,9.9,9.95,7556300.0,149.95515600000004,151.41625752000004,148.95545496,149.72445575999996,2456237.5,82.94370481354464,83.38494575507617,81.83101026533473,82.3969497338208,1285900.0
2010-04-16,8.83570545,8.967848175,8.73427698,8.892491107500003,252676900.67690063,12.187130670000002,12.4142733,12.025702260000005,12.35141622,3636188.636188636,9.81,9.9,9.38,9.75,11099100.0,145.87945176,149.57065559999995,143.41864919999998,149.49375552,4402450.0,81.59120540580672,83.04921895173696,81.14996446427519,82.52164826077535,2690800.0
2010-04-19,8.8239197475,8.85284829,8.6346342225,8.805348337500002,157567049.56704956,12.1142736,12.3714162,11.82427389,12.17855925,3985061.985061985,9.58,9.83,9.29,9.73,4529200.0,145.64875152000005,145.87945176,143.49554928,143.80314959999995,1898137.5,81.23629421370528,81.36099274065985,79.99890113854079,80.90056741036608,1490800.0
2010-04-20,8.7353484075,8.901776812500003,8.677134180000001,8.901419670000003,249283885.28388527,12.43855899,12.48855894,12.122845020000002,12.12570216,3208677.208677208,9.77,9.81,9.63,9.74,4561100.0,146.110152,147.64815359999997,145.95635184,146.4946524,1363300.0,83.05881114611806,83.9796618067056,82.02285415295712,82.12836829114943,1312200.0
